producto,fecha,udsprevisionempresa
59,2019-03-13,1946
75,2019-03-13,2225
80,2019-03-13,4241
94,2019-03-13,2878
7,2019-03-13,12437
52,2019-03-13,3582
16,2019-03-13,9525
85,2019-03-13,1969
53,2019-03-13,6044
36,2019-03-13,6244
18,2019-03-13,9821
82,2019-03-13,3463
10,2019-03-13,9475
67,2019-03-13,5732
78,2019-03-13,2286
57,2019-03-13,6839
11,2019-03-13,8486
66,2019-03-13,3411
43,2019-03-13,5712
38,2019-03-13,5872
3,2019-03-13,27772
21,2019-03-13,6553
89,2019-03-13,2508
37,2019-03-13,913
20,2019-03-13,14011
77,2019-03-13,1269
79,2019-03-13,3559
87,2019-03-13,3313
62,2019-03-13,3362
50,2019-03-13,5334
9,2019-03-13,15696
74,2019-03-13,4339
31,2019-03-13,7031
17,2019-03-13,5776
4,2019-03-13,22671
70,2019-03-13,5376
29,2019-03-13,7704
98,2019-03-13,2401
2,2019-03-13,38698
76,2019-03-13,2927
63,2019-03-13,4104
13,2019-03-14,8458
55,2019-03-14,2661
